"11","Ngân hàng phát hành L/C dỏng vai trò gì trong một giao dịch L/C?","Ngân hàng phát hành L/C SŨ thông báo L/C cho ngân hàng cùa người thụ hưởng trước khi phát hành L/C.","Ngân hàng phát hành gửi điện xác thực hoặc chuyển thư tin dụng dến ngân hàng của người thụ hường.","Ngân hàng phát hành L/C sẽ thay mặt cho người thụ hường thực hiện thanh toán hoặc chấp nhận thanh toán hoặc thương lượng thanh toán.","","2"
"12","Người nhập khẩu yêu cầu hàng hóa dâm bão chất lượng như thỏa thuận trong khi người xuất kliầu muốn dâm bào chắc chắn việc thanh toán thì nên sử dụng phương thức thanh toán nào sau đây?","L/C xác nhận cỏ giá trị chấp nhận và hổi phiêu đòi tiền NH xác nhận dồng thời yêu cầu giấy chứng nhận chất lượng cùa một bân thử ba.","ƯC xảc nhận trà ngay yêu cầu giấy chứng nhận chất lượng cũa bên thụ hường","L/C dự phòng thanh toán theo yêu cẩu dược xác nhận và yêu cầu giấy chúng nhận chắt lượng của bên thụ hường","uc ưà ngay không xác nhận yêu cầu giấy chửng nhận chất lượng cùa bên thứ ba","1"
"13","Loại thư tín dụng nào mà người thụ hường được nhận tài trợ từ người mua trước khi giao hàng?","Confirmed irrevocable, payable at maturity (Thư tín dụng không hùy ngang trả chậm dược xác nhận).","Irrevocable, payable at sight (Thư tín dụng không hủy ngang trà ngay).","Red clause (Thư tín đụng cỏ điều khoản dô).","Transferable (Thư tín dụng có thể chuyển nhượng).","3"
"14","Tuyên bố nào sau đây là dứng về thư tín dụng chuyển nhượng?","Một thư tín dụng chuyển nhượng có thẻ dược chuyển nhượng theo ycu cầu của người thụ hưởng thứ 2 tới bất cứ người thụ hưởng nào khác.","Người hường thứ nhất cỏ thể hủy thư tín dụng dược chuyền nhượng mà không cần sự chấp thuận của người hưởng thử hai.","Người hưởng thứ nhất cỏ thể yen cầu giữ lại việc xác nhận đổi với thư tín dụng dược chuyển nhượng","Thư tín dựng chuyển nhượng có thể hết hạn hiệu lực tại quốc gia cùa người hưởng thứ hai vào ngày hết hạn hiệu lực theo thư tín dụng của người hường thứ nhất.","4"
"15","Các khuyến nghị cùa Lực lượng đặc nhiệm hành dộng tài chính (FATF) yêu cầu các ngân hăng thực hiện thầm dịnh ưong mối quan hộ cùa họ với khách hàng. Các ngân hảng bắt buộc phải cỏ thủ tục đề xác nhận tất cả những điều sau đây, ngoại trừ:","danh tinh của khách hàng","bân chất cùa bẩt kỳ mối quan hệ kinh doanh cơ bản nào với giao dịch.","hàng hỏa sẽ dược sử dụng dề làm gì.","chú sờ hữu hưởng lợi của các bên tham gia giao dịch là ai","3"
"16","L/C quy dịnh ""ƯCP latest version"" là dẫn chiếu dến ấn bàn nào hiện hành?","UCP 500","UCP 600","UCP 650","UCP 700","2"
"17","Trưởng hợp nào Phòng/BỘ phận Nghiệp vụ lập Thông báo và trình duyệt mờ L/C nhập khẩu chuyền phòng Khách hàng trinh Lãnh đạo chi nhánh phê duyệt?","L/C dược dâm bào ký quỹ 100%","L/C được dàm bào ký quỹ dưới 100%","Hồ sơ giao dịch do Chi nhánh loại II chuyển dến;","L/C dược dàm bào nguồn vốn bàng Thư cam kết/Cam kết đặc biệt cùa nhà tài ượ theo L/C dự án","2"
"18","Trước khi thông bảo một tín dụng thư cho người thụ hưởng, trách nhiệm cùa ngân hàng thông báo là gì?","Thanh toán khi xuất trinh chứng tử hợp lộ.","Kiểm tra tính xác thực của thư tin dụng.","Thông báo cho ngân hàng phát hành ràng tin dựng thư dã dược thông báo.","","2"
"19","Đặc điểm của L/C nội bộ là gì?","Ngân hàng phát hành và ngân hàng thõng báo có thể là một Chi nhánh hoặc hai Chi nhánh Agribank khảc nhau","Ngân hàng phát hành phải là chi nhảnh của Agribank","Một ưong hai ngân hảng phát hành hoặc ngân hàng thông báo là chí nhánh cùa Agribank","Ngân hàng thông báo phải là Chi nhánh cùa Agribank","1"
"20","Khi tiếp nhận, kiểm tra vả xừ lỷ chứng từ xuất trình tlico ƯC, Agribank thực hiện những nội dung nào?","Kiểm tra sự phù hợp trên bề mặt chủng tử so với quy định của LC, sửa dối L/C (nếu có)","Kiểm ưa sự khớp dúng giũa các chứng từ với nhau, kiểm ưa chứng từ phù họp với UCP, ISBP","Không chịu ưách nhiệm về tình trạng thực té của hàng hóa, dịch vụ, ưanh chấp giữa các bên liên quan dển hợp đồng","Tất cả đáp án ưên","4"
"21","Thời hạn chiết khấu tối đa đối với bộ chủng từ xuất khẩu xuất trinh theo L/C trà ngay là bao nhiên lâu?","30 ngày kể từ ngây chiết khấu;","60 ngày kể từ ngây chiết khấu;","360 ngày kể từ ngây chiết khẩu;","365 ngây kể từ ngày chiết khấu;","2"
"22","Trường hợp Khách hàng mua bào hiểm thi mức bảo hiềm tối thiều lả bao nhiêu?","90% trị giá ƯC hoặc trị giá lô hàng.","100% trị giá L/C hoặc ưi giả lô hàng.","110% tri giá L/C hoặc trị giá lô hàng.","120% trị giả L/C hoặc trị giá lô hàng.","3"
"23","Trường hợp Khách hàng mua bâo hiểm thỉ đồng tiền bão hiểm là loại nâo?","Cùng loại với đồng tiền cùa L/C.","Là VND.","Là USD.","Lã loại ngoại tệ bất kỳ.","1"
"24","Trưởng họp Khách hàng phái mua bảo hiềm hàng hóa để phát hành L/C, Agribank không chấp nhận loại giầy tờ bào hiềm nào sau đây?","Họp dồng bào hiềm cửa Công ty bào hiểm.","Chứng nhận báo hiểm của Công ty báo hiểm.","Văn bân cam kết bổ sung hợp dồng bào hiềm/chứng nhận bão hiểm.","Chửng nhận bão hiểm cùa công ty môi giới bâo hiểm.","4"
"25","Agribank chấp nhận hủy ƯC nhập khẩu trong trưởng hợp nảo?","Agribank dã phát hành Bão lãnh nhận hảng/Thư ủy quyền nhận hàng/dã ký hậu vận dơn đê khách hàng di nhận hàng","Các bên liên quan (ngân hảng phát hành, người hường lợi, ngân hàng xác nhận - nếu có) dồng ỷ hủy L/C","L/C có phát sinh tranh chẩp thương mại","Bên mua và bên bán dã đồng ỷ hủy L/C","2"
"26","Ngân hàng phát hành L/C có thể là bên yêu cầu mở L/C, đúng hay sai?","Đúng","Sai","","","1"
"27","Người yêu cầu mở L/C là một bên (party) của L/C, dứng hay sai?","Đúng","Sai","","","2"
"28","Nhận định nào dưới dây là dúng về ngân hảng thông báo L/C thứ hai?","Một ngân hàng thõng báo thứ 2 dược ngân hàng thông báo thứ 1 sử dụng đồ thông báo L/C dến người thụ hưởng.","Một ngân hàng thông báo thứ 2 có thể được chi rõ trong nội dung L/C để thực hiện thông báo L/C dến người thụ hường.","Cà hai đáp án ưên","","3"
"29","Which of the following is not a form of ‘honour’?","Acceptance.","Deferred payment.","Negotiation.","Payment.","3"
"30","Bảng việc chi định một ngân hảng khác dưa ra cam kct thanh toán trà chậm không kèm xác nhận, ngân hàng phát hành L/C dã thực hiên?","cho phép ngân hàng chi dịnh này thanh toán ứng trước cho người thụ hướng khi họ yêu cầu.","cho phép ngân hàng chi dịnli này chấp nhận hối phiếu.","cho phép ngân hàng chỉ dịnh này mua lại hoặc thanh toán ứng trước bộ chứng từ.","ẩn định trách nhiệm của ngân hàng chỉ djnh này ưong việc thanh toán bộ chứng từ.","3"
"31","Việc phát hành L/C đối với hỉnh thức mua bán hàng hóa chuyển khẩu tại Agribank cỏ được thực hiện hay không?","Cỏ","Không","","","2"
"32","Khỉ thực hiện đỏng hồ sơ L/C, dơn vị tác nghiệp có trách nhiệm thực hiện những nội dung nào?","Thu các khoăn phí theo quy dinh","Thu các khoản phí theo quy dịnh, giải tôa tiền ký quỹ (nếu có)","Thu các khoăn phí theo quy dịnh, giải tòa tiền ký quỹ (nếu có), thông báo cho Phòng/Bộ phận Khách hăng (nếu cần)","","3"
"33","Ngân hàng hoàn trả cần thông báo cho Agribank bàng hỉnh thức nào trước tối thiều 03 ngày trước khi thực hiện thanh toán?","Đầng thư","Bằng diện","Bằng bẩt cử phương tiện khẩn cấp nào","","2"
"34","Trưởng hợp ngàn hàng xác nhận đã chấp nhận một hối phiếu trả chậm, ngân hảng dỏ cỏ trách nhiệm phãi thanh toán vảo ngày dáo hạn khi nào?","Ngân hàng dó nhận được thanh toán từ ngân hàng phát hành.","Ngân hàng dỏ nhận dược thanh toán từ ngân hàng hoàn ưà.","Người thụ hưởng xuất trình hối phiếu.","Người yêu cầu xác thực hối phiếu","3"
"35","Trường hợp nào sau dây liên quan đến cam kết thanh toán trà chậm lả đúng?","Thanh toán được thực hiện tại một ngày tương lai theo quy đinh của thư tín dụng.","Thanh toán chì dược thực hiện bới ngân hàng phát hành.","Thanh toán dược thực hiện vào ngây đến hạn cùa hối phỉểu.","Thanh toản dược thực hiện khi xuất trinh bộ chửng từ phù hợp.","1"
"36","Việc phát hành L/C xác nhận cần chỉ rõ từ khóa nào tại trưởng thích hợp cùa MT700?","CONFIRM","MAY ADD","WITHOUT","","1"
"37","Sau khi da thanh toán L/C, dến thời điểm khách hàng kiểm tra hàng hóa nhận thấy hàng hóa bi thiếu/ hư hỏng, thì khách hằng có được quyền yêu cầu ngân hàng đòi lại so tiền da thanh toán cho ngân hàng cùa bên bán không?","Cỏ","Không","","","2"
"38","Trưởng hợp Agribank nhận dược diện yêu cầu thanh toán L/C họp lệ từ ngân hàng nước ngoài, việc thanh toán phải dược thực hiện khi nào?","Theo ngày hiệu lực thanh toán ưên diện yêu cầu thanh toán hoặc trong vòng 05 ngày kể từ ngày nhận được diện yêu cầu thanh toán","Theo ngày hiệu lực thanh toán ưên diện yêu cầu thanh toán hoặc trong vông 03 ngày kể từ ngày nhận được diện yêu cầu thanh toán","Theo ngày hiệu lực thanh toán ưên diện yêu cầu thanh toản hoặc ưong vỏng 05 ngày làm việc kể từ ngày nhận dược diện yêu cầu thanh toán","Theo ngày hiệu lực thanh toán ưên diện yêu cầu thanh toán hoặc trong vỏng 03 ngây làm việc kề từ ngày nhận dược diện yêu cầu thanh toán","4"
"39","Thời hạn dơn vị tác nghiệp lập diện từ chổi thõng báo L/C, sửa đổi L/C gửi Ngân hàng phát hành hoặc Ngân hàng thông báo thứ nhất vả thực hiện đóng hồ sơ là bao lâu?","Trong vòng (03) ngày làm việc kể từ ngây nhận dược L/C, sửa dổi L/C và thực hiện đóng hồ sơ L/C.","Trong vòng (05) ngây kề từ ngây nhận dược L/C, sửa dổi L/C và thực hiện dóng hồ sơ L/C.","Trong vòng (03) ngày kề từ ngây nhận được L/C, sữa đồi L/C và thực hiện dóng hồ sơ L/C.","Trong vòng (05) ngây lảm việc kẻ từ ngày nhận dược L/C, sửa đối ƯC và thực hiện đóng hồ sơ L/C.","1"
"40","Thư tin dụng chuyển nhượng có thể chuyền nhượng theo yêu cầu của người thụ hường thứ hai cho bất cứ người thụ hướng ké tiếp nào. Đúng hay sai?","Đúng","Sai","","","2"
"41","Thông báo sửa dỗi ƯC chì thục hiện dối với L/C đã được Agribank thông báo trước dỏ, trừ trường hợp có xác nhận bằng điện/thư xác thực cùa ngân hàng gửi L/C đề nghị thực hiện thông báo sửa dồi dó, kèm theo toàn bộ nội dung của ƯC và các sửa đồi trước dó (nếu có). Đúng hay sai?","Đúng","Sai","","","1"
"42","Khi phát hành L/C, Chi nhánh xem xét yêu cầu Khách hàng mua bão hiểm cho lô hàng hoặc các biện pháp khác dễ đàm bảo hạn chể rủi ro cho Khách hảng và Agribank ưong trưởng họp nào?","Đổi với phương thức vận chuyền trong Yêu cầu mở ƯC mà giá hàng hỏa chưa bao gổm bào hiểm theo Điều kiện thương mại quốc tế (Incoterms)","Khách hàng ký quỹ dưới 100% ưí giá L/C","Cã 1 và 2 đều đúng","","3"
"43","Đồng tiền bào hiểm phải cùng loại với đồng tiền cùa L/C. Đúng hay sai?","Đúng","Sai","","","1"
"44","Nếu hợp đồng ngoại thuơng có nội dung chấp nhận chửng từ bào hiểm cùa công ty môi giới bào hiểm till kill phát hành L/C Agrỉbank sẽ chấp nhận chứng từ này là chúng từ bào hiểm. Đúng hay sai?","Đúng","Sai","","","2"
"45","Trưởng hợp L/C ưâ chậm, chưa đến hạn thanh toán tuy nhiên dã het hạn hiệu lục quá 45 ngày, Agribank vẫn sẽ đông hồ sơ L/C theo quy định. Đúng hay sai?","Đúng","Sai","","","2"
"46","Anli/Chị hãy cho biết hiện nay Agribank đang áp đụng những loại nhờ thu kèm chứng lừ nào?","Nhờ thu theo hình thức chấp nhận thanh toán giao chứng từ (Delivery of documens Against acccptance-D/A).","Nhờ thu theo hình thức thanh toán giao chứng từ (Delivery of documens Against Paymcnt-D/P).","Giao chứng từ theo các điều kiện khác(Delivery of documents on other temrs and conditions-D/OT).","Tất cả đáp án trên dều đùng","4"
"47","Anh/Chị hãy cho biết hiện nay Agribank từ chối thanh toán Nhờ thu khi nào?","Người ưả tiền cỏ văn bàn từ chối thanh toán một phằn trị giá Nhờ thu.","Người ưà tiền cỏ văn bàn từ chối thanh toán toàn bộ trị giá Nhờ thu.","Người trà tiền đã chấp nhận thanh toán nhưng dến ngày dáo hạn không có đủ tiền thanh toán đổi với Nhờ thu D/A.","Tất cá đáp án trên dều đúng","4"
"48","Khi Khách hàng Nhở thu xuất khẩu dáp ứng diều kiện ửng trước tiền cùa Agribank, số tiền ứng trước tối da cho khách hàng là bao nhiêu?","98% X (trị giã bộ chứng từ nhờ thu xuất khẩu)","98% X (tri giá bộ chửng từ nhờ thu xuất khẩu sau khi trừ sổ tiền ngân hàng dự kiến thu các chi phí phát sinh)","90% X (trị giả bộ chứng từ nhờ thu xuẩt khẩu)","90% X (trị giá bộ chứng từ nhờ thu xuất kliầu sau khi trừ số tiền ngân hàng dự kiến thu các chỉ phi phát sính)","4"
"49","Anh/Chị hãy cho biết hiện nay Agribank quy định thời hạn ứng trước tối da dối với bộ chứng tử Nhờ thu xuất khẩu D/P là bao lâu?","60 ngày kề tử ngày Agribank thực hiện ứng trước tiền.","10 ngày kể từ ngày Agríbank thực hiện ứng trước tiền.","Khoáng thời gian tính từ ngày tiếp theo của ngày Agribank thực hiộn ứng trước tiền tới ngày dến hạn thanh toản của bộ chứng tử cộng (+) mười (10) ngày kể từ ngày Agribank thực hiện ứng trưởc tiền.","","1"
"50","Khi là Ngân hàng thu hộ (Collecting Bank), Agribank sẽ không chịu trách nhiệm nào sau dây?","Kiềm tra nội dung các chứng từ nhờ thu","Đã thực hiện tỉico chi thị nhờ thu và ƯRC 522 nhưng bộ chửng từ nhờ thu không dược thanh toán, chậm thanh toán","Cã 2 phương án ưên","","3"
"51","Theo nghiệp vụ Nhờ thu tại Agribank, chỉ dẫn giao chứng từ cho Người trả tiền trên cơ sớ chấp nhận thanh toán cùa Người ưả tiền là loại nhờ thu nào sau đây?","D/P trả ngay","D/P kỳ hạn","D/A","D/OT","3"
"52","Đổi vửi Nhờ thu xuất khẫu, sau bao nhiêu ngày kể từ ngày đến hạn mà bộ chứng từ nhở thu vẫn chưa được thanh toán, Đơn vị tác nghiệp lập thông báo gữi Người đòi tiền vả làm thú tục đỏng hồ sơ Nhờ tliu?","5 ngây","ỈO ngày","20 ngày","30 ngây","4"
"53","Khi là Ngân hàng thu hộ (Collecting Bank), Agribank từ chổi thu hộ đổi với các trường họp nào sau dây?","Chi thị Nhờ thu không cụ thể, rõ ràng, có điều khoản bất lợi cho Agribank","Nhờ thu không dẫn chiểu tuân thù Quy tẳc thống nhất về Nhở thu (ƯRC)","Khách hàng từ chối nhận bộ chứng từ hoặc Khách hảng không có ý kiến trà lời bằng văn bản trong vỏng mưỏi (10) ngày làm việc kể từ ngày Agribank gửi thông bảo chứng từ Nhờ thu","Tất cã đáp án trên đều dứng","4"
"54","Anh/Chị hãy cho biểt hiện nay Agribank quy định thời hạn ứng trước toi đa đối với bộ chứng tử Nhờ thu xuất khẩu D/A là bao lâu?","Ngây dến hạn thanh toán cũa bộ chứng từ nhờ diu hàng xuất cộng 10 ngây","Tổng thời gian ửng trước tiền cho bộ chứng từ nhờ thu hàng xuất tổi da 360 ngày","Đáp án (1) và (2)","","3"
"55","Theo quy dinh tại quy ưỉnh thanh toán quốc té, chi dần nhờ thu phái dẫn chiếu tuân thủ theo quy tắc nào?","URC","URR","UCP","ISBP","1"
"56","Khách hàng từ chối nhận bộ chứng từ hoặc không có ý kiển trá lời bằng văn bân ưong vòng mười (10) ngày làm việc kề từ ngày gùi thông bảo chứng từ Nhờ thu, thi Agribank cỏ quyền từ chổi thu hộ không?","Có","Không","","","1"
"57","Khi là ngân hàng thu hộ, Agribank sẽ được miền trách ưong trường hợp dã thực hiện theo chi thị Nhờ thu vả quy tắc Quốc tể mà bộ chứng từ Nhở thu không được thanh toán hoặc thanh toán chậm, đúng hay sai?","Đúng","Sai","","","1"
"58","Trong các diều kiện đổi với chi dẫn đặc biệt trên chỉ thị Nhờ thu Nhập khẩu, sau bao nhiêu ngày kể từ khi gửi thông báo không nhận được chi thị từ bên gửi chửng từ thì Chi nhánh chuyển trâ lại bộ chửng từ cho bên gửi?","60 ngây","30 ngây","21 ngày","5 ngây","2"
"59","Trong trường hợp các chi dẫn nhờ thu ghi sai hoặc không ghi dầy đủ địa chi người ưà tiền hoặc noi xuất trinh chứng ỉừ, ngân hàng thu hộ cỏ thề cổ gắng xác định dịa chi thích họp vả chịu hoàn toàn trách nhiệm về phía minh, dúng hay sai?","Đúng","Sai","","","2"
"60","Ngân hàng chuyển (Remitting Bank) chuyển bộ chứng từ theo yêu cầu cùa nhà xuất khẩu sang cho ngân hàng thu hộ (Collecting Bank) nhờ thu tiền bên nhập khẩu. Tranh chấp xày ra khi bộ chứng tử bị thất lạc, vậy ai là người sẽ chịu trách nhiệm về việc thất lạc chứng từ như ưên?","Ngân hàng chuyền","Ngân hàng thu hộ","Bên xuấtkhầu","Bên nhập khẩu","3"
"61","Theo URC 522, chứng từ nào dưới dây là chứng từ tải chinh ?","Hỏa don thương mại","Giấy chứng nhận xuất xứ","Vặn đơn đường biển","Hối phiếu","4"
"62","Trong thư ủy thác nhờ thu (collection letter) chỉ rõ người trà tiền (Drawee) phải thanh toán cả tiền lãi (nểu cỏ) vả không dược bỏ qua tiền lãi. Do người trà tiền chi trà tiền hàng mà không ưà tiền lãi cho nên ngân hăng không trao chứng từ cho người trà tiên. Theo URC522, việc lảm trên của ngân hàng là đúng hay sai?","Đúng","Sai","","","1"
"63","Ngân hàng thu hộ Y sau khi nhận được chi thị nhờ thu từ Ngân hàng chuyển chứng từ X, thấy mình không có tài khoán cùa nhà nhập khẩu nên tự ý nhờ ngân hàng z xuẩt trình chứng từ nhở thu. Hành dộng trẽn của Ngân hảng Y dúng hay sai?","Đúng","Sai","","","1"
"64","Trong trường hợp Khách hàng không chi định ngân hảng thu hộ thỉ Agrỉbank chọn NHĐL phù hợp, có uy tín làm ngân hảng thu hộ và Agribank cỏ được miễn trách vè sự lưa chọn đỏ hay không?","Cỏ","Không","","","1"
"65","Quy dịnh cùa Agribank về thoái hổi ưong giao dịch chuyến tiền dển là gì?","Không dược thoái hối","Thoái hổi dược thực hiện tại chi nhảnh loại I","Thoái hổi trục tiếp với ngân hàng nước ngoải, không cần thực hiện qua Trung tâm thanh toán","Không thoái hổi trực tiếp với ngân hảng nước ngoài mà phài thực hiện qua Trung tâm thanh toán.","4"
"66","Hồ sơ chuyển ngoại tộ ra nước ngoài đề thanh toán cho các tổ chức ở nước ngoài đổi với phí hội viên KHÔNG BẮT BUỘC bao gồm những chứng từ gì?","Hợp dồng lien quan đến khoản chỉ ưâ","Thông bảo và/hoặc hóa dơn thu phí của bên nước ngoài về mức phí phải thanh toán","Quy chế/ nghị quyết do cấp cỏ thẩm quyền của khách hàng ký về việc tham gia tổ chức nước ngoài","Giấy tờ chứng minh khách hàng dã sử dụng dịch vụ phát sinh phi","3"
"67","Khi khách hàng tổ chức là người không cư trú thực hiện giao dịch chuyển tiền ra nước ngoài sổ ngoại tệ cỏ ưên tài khoăn ngoại tệ của khách hàng, khách hàng cần xuất trinh giầy tờ nảo?","Giấy tờ chứng minh nguồn gốc sổ tiền trên tài khoán","Thông bảo dược xác thục về thông tin của người nhận tiền","Lệnh chuyển tiền (không cần xuất trinh giẩy tờ nào khác)","Giấy tờ chửng minh mục dỉch sừ dụng số tiền chuyền","3"
"68","Khách hàng là người không cư trú chỉ được sử dụng tài khoản thanh toán bàng ngoại tộ đê thực hiện các giao djch thu chuyển khoản từ nước ngoài vi mục dích chuyển vốn. Nhận dịnh trên lâ dúng hay sai?","Đủng","Sai","","","2"
"69","Phương thức thanh toán quốc tế chứa dựng rùi ro nhiều nhát dối với nhà nhập khẩu là gì?","Ghi sổ (Open account)","Chuyển tiền ưâ trước","Tín dụng chửng từ (Documentary Credit)","Nhờ thu (Collection)","2"
"70","Ngày hiệu lực cùa Lệnh chuyên tiền dược xác dịnh cùng ngày với ngây nào sau dây?","Ngày giao dịch trên cơ sở khách hàng xuất trình chứng từ dầy đũ và hợp lệ theo quy dinh, dàm bào nguồn thanh toán","Ngày khách hàng xuất trinh chửng từ dầy dủ họp lệ","Ngày khách hàng dâm bào nguồn thanh toán theo quy dinh","Ngày giao dịch trẽn cơ sờ khách hăng xuất trình chứng từ dầy đủ và hợp lộ theo quy dinh, đâm bảo nguồn thanh toán và trước giờ giới hạn giao dịch dổi với tửng loại ngoại tệ nhận điện cùa Chi nhánh tại Trung tâm thanh toán","4"
"71","Hồ sơ chuyển tiền di bao gồm những chửng từ gì?","Hồ sơ pháp lý (dối với khách hàng giao dịch lần dầu hoặc khi có thay dồi, bổ sung thông tin)","Lệnh chuyển tiền, hợp dồng mua bán ngoại tệ (nếu cần)","Hồ sơ chứng minh mục đích chuyển tiền tương ứng tuân thủ theo quy dinh hiện hành VẺ quân lỷ ngoại hối dổi với các giao dịch thanh toán, chuyển tiền của Agribank","Tất cả đáp án ưên","4"
"72","Thông tư 12/2022/TT-NHNN ngày 30/09/2022 quy định về vấn dề gì?","Hướng dần sử dụng tài khoản ngoại tệ của ngưởi cư trú","Hướng dẫn về quàn lý ngoại hối dổi với việc vay, ưà nợ nước ngoài của doanh nghiệp","Hưởng dần hoạt động chuyển tiền một chiều từ Việt Nam ra nước ngoải","Hướng dẫn việc mờ và sử dụng tài khoản von đầu tư gián tiểp","2"
"73","Theo quy dịnh tại Thông tư 20/2022/TT-NHNN ngây 30/12/2022, trường hợp nào KHÔNG thuộc mục dích mua chuyền ngoại tệ ra nước ngoài để tài ượ, viện trợ cùa tồ chức?","Mua, chuyển mang ngoại tệ ra nước ngoài dể tải ượ, viện ượ theo các cam két, thỏa thuận giữa Nhà nước, Chinh phù, các cẩp chỉnh quyền dja phương với nước ngoài.","Mua, chuyền ngoại tộ ra nước ngoài dể tài ượ, viện ượ khắc phục hậu quà thiên tai, dịch bệnh, chiên tranh.","Mua, chuyển ngoại tệ ra nước ngoài dể tài trợ cho các chương trinh, các quỹ, dự án do tổ chức ưong nước và/ hoặc tồ chửc ở nước ngoài thành lặp nhẳm mục đích hỗ ượ và khuyến khích phát ưiển trong các lĩnh vực: văn hóa, giáo dục (tài trợ học bỗng) và y tẻ.","Mua chuyển ngoại tộ ra nước ngoài dể phân bổ tiền tài trợ cho các thành viên ở nước ngoài tham gia thực hiện dự án nghiên cứu khoa học ở nước ngoài","4"
