STT,Câu hỏi,1,2,3,4,Đáp án
11,"""Người quản lý Agribank"" bao gồm những chức danh nào sau đây:","Chù tịch HĐTV, Thành viên HĐTV","Tổng Giám đốc, Phó Tổng Giám đốc",Kế toán trưởng,Tất cả các đáp án trên,4
12,"""Quan hệ ngân hàng đại lý"" được định nghĩa tại Luật Phòng, chống rửa tiền năm 2022 là:","Quan hệ được hình thành từ việc một ngân hàng cung cấp dịch vụ ngân hàng, thanh toán và các dịch vụ khác cho một ngân hàng khác.","Quan hệ được hình thành từ việc một ngân hàng tại một quốc gia, vùng lãnh thổ cung cấp dịch vụ ngân hàng, thanh toán cho một ngân hàng tại  chính quốc gia, vùng lãnh thổ đó.","Quan hệ được hình thành từ việc một ngân hàng tại một quốc gia, vùng lãnh thổ cung cấp dịch vụ ngân hàng, thanh toán và các dịch vụ khác cho một ngân hàng đối tác tại một quốc gia, vùng lãnh thổ khác.","Quan hệ được hình thành từ việc một ngân hàng tại một quốc gia, vùng lãnh thổ khảo sát dịch vụ của một ngân hàng đối tác tại một quốc gia, vùng lãnh thổ khác.",3
13,"""Thông tin về nguồn gốc tài sản sử dụng để tài trợ, đầu tư, cho vay hoặc ủy thác đầu tư của khách hàng không rõ ràng, minh bạch"". Trường hợp này có dấu hiệu đáng ngờ hay không?",Có. Đây là dấu hiệu đáng ngờ trong lĩnh vực ngân hàng,Có. Đây là dấu hiệu đáng ngờ trong lĩnh vực trung gian thanh toán,Có. Đây là dấu hiệu đáng ngờ trong lĩnh vực kinh doanh bất động sản,"Đây không phải là dấu hiệu đáng ngờ trong phòng, chống rửa tiền.",1
14,"""Tiêu chuẩn phục vụ khách hàng trong hệ thống Agribank"" quy định thế nào về Xử lý phàn nàn của khách hàng?","Trường hợp vấn đề vượt quá tầm kiểm soát hoặc nghiệp vụ, cần nhanh chóng liên hệ cấp có thẩm quyền cao hơn hoặc bộ phận chuyên trách về nghiệp vụ đó để yêu cầu trợ giúp/phối hợp giải quyết","Lắng nghe và giải thích đầy đủ, cặn kẽ cho khách hàng","Lắng nghe và giải thích đầy đủ, cặn kẽ cho khách hàng. Trường hợp vấn đề vượt quá tầm kiểm soát hoặc nghiệp vụ, cần nhanh chóng liên hệ cấp có thẩm quyền cao hơn hoặc bộ phận chuyên trách về nghiệp vụ đó để yêu cầu trợ giúp/phối hợp giải quyết","Lắng nghe và giải thích đầy đủ, cặn kẽ cho khách hàng. Trường hợp vấn đề vượt quá tầm kiểm soát hoặc nghiệp vụ, nhờ đồng nghiệp bên cạnh hoặc bảo vệ trợ giúp/phối hợp giải quyết",3
15,"""Tiêu chuẩn phục vụ khách hàng trong hệ thống Agribank"" quy định Trách nhiệm của lãnh đạo cấp trung gian/phòng nghiệp vụ như thế nào trong Xử lý khiếu nại của khách hàng?","Chủ động giám sát, quan sát, phát hiện nhu cầu cần hỗ trợ đối với giao dịch viên; trực tiếp xử lý hoặc phân bổ, điều động thêm cán bộ tăng cường hỗ trợ trong trường hợp lượng khách hàng tăng đột biến, không để khách hàng chờ đợi quá 15 phút trước khi đến lượt giao dịch","Chủ động giám sát, quan sát, phát hiện nhu cầu cần hỗ trợ đối với giao dịch viên; trực tiếp xử lý hoặc phân bổ, điều động thêm cán bộ tăng cường hỗ trợ trong trường hợp lượng khách hàng tăng đột biến, không để khách hàng chờ đợi quá 30 phút trước khi đến lượt giao dịch","Chủ động giám sát, quan sát, phát hiện nhu cầu cần hỗ trợ đối với giao dịch viên; trực tiếp xử lý hoặc phân bổ, điều động thêm cán bộ tăng cường hỗ trợ trong trường hợp lượng khách hàng tăng đột biến, không để khách hàng chờ đợi quá 45 phút trước khi đến lượt giao dịch","Chủ động giám sát, quan sát, phát hiện nhu cầu cần hỗ trợ đối với giao dịch viên; trực tiếp xử lý hoặc phân bổ, điều động thêm cán bộ tăng cường hỗ trợ trong trường hợp lượng khách hàng tăng đột biến, không để khách hàng chờ đợi quá 60 phút trước khi đến lượt giao dịch",1
16,“Cầm giữ tài sản” có đặc điểm gì?,"A. Là quyền của bên bị vi phạm hợp đồng do pháp luật quy định, chỉ áp dụng đối với hợp đồng song vụ.",B. Tài sản cầm giữ chính là đối tượng của hợp đồng song vụ.,C. Đáp án A và B đúng.,D. Không có đáp án nào đúng.,3
17,“Sự liêm chính” của cán bộ ngân hàng được thể hiện ở nội dung nào dưới đây theo quy định tại “Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng” do Hội đồng Hiệp hội Ngân hàng Việt Nam ban hành?,"Bảo thủ, cứng nhắc, gây cản trở cho đổi mới, sáng tạo.","Không được tham ô, vụ lợi hoặc tiếp tay cho hành vi tham ô, vụ lợi.","Không tùy tiện, sơ hở trong trao đổi thông tin, tình hình nội bộ.","Ỷ lại, dựa dẫm, đẩy việc cho người khác.",2
18,“Sự liêm chính” của cán bộ ngân hàng được thể hiện ờ nội dung nào dưới đây theo quy định tại “Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử cùa cán bộ ngân hàng”?,"Bảo thủ, cứng nhắc, gây cản trở cho đổi mới, sáng tạo.","Không được tham ô, vụ lợi hoặc tiếp tay cho hành vi tham ô, vụ lợi.","Không tùy tiện, sơ hờ trong trao đổi thông tin, tình hình nội bộ.","Ỷ lại, dựa dẫm, đẩy việc cho người khác.",2
19,“Sự tận tâm và chuyên cần” của cán bộ ngân hàng được thể hiện ở nội dung nào dưới đây theo quy định tại “Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng” do Hội đồng Hiệp hội Ngân hàng Việt Nam ban hành?,Phải rèn luyện tính tự giác và chủ động.,"Không được làm việc tắc trách, thiếu tập trung, thiếu tinh thần trách nhiệm.","Lưu trữ, bảo quản hồ sơ, tài liệu của ngân hàng theo đúng quy định.",Rèn luyện khả năng thích ứng cao trước sự thay đổi của môi trường và yêu cầu trong tình hình mới.,2
20,“Sự tận tâm và chuyên cần” của cán bộ ngân hàng được thể hiện ở nội dung nào dưới đây theo quy định tại “Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng”?,Phải rèn luyện tính tự giác và chủ động.,"Không được làm việc tắc trách, thiếu tập trung, thiếu tinh thần trách nhiệm.","Lưu trữ, bảo quản hồ sơ, tài liệu của ngân hàng theo đủng quy định.",Rèn luyện khả năng thích ứng cao trước sự thay đổi của môi trường và yêu cầu trong tình hình mới.,2
21,“Tính tuân thủ” của cán bộ ngân hàng được thể hiện ở nội dung nào dưới đây theo quy định tại “Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng” do HHNH ban hành?,"Tôn trọng và tuân thủ nghiêm luật pháp, các quy định, quy trình nghiệp vụ của ngành và của nội bộ ngân hàng.",Thận trọng trong giao tiếp và giữ kỷ luật phát ngôn.,"Tự giác chịu sự giám sát, kiểm soát theo quy định.","Không được chủ quan, liều lĩnh, không được dễ dãi, cả tin.",1
22,Agribank áp dụng hình thức trả lãi nào đối với sản phẩm tiền gửi có kỳ hạn?,"A. Trước toàn bộ, sau định kỳ.","B. Sau toàn bộ, trước toàn bộ, sau định kỳ.","C. Sau toàn bộ, trước toàn bộ.","D. Sau toàn bộ, trước toàn bộ, trước định kỳ.",2
23,Agribank áp dụng phương thức xác thực bằng sinh trắc học qua nhận dạng nào đối với khách hàng trên ứng dụng di động?,Mạch máu,Giọng nói,Mống mắt.,Vân tay và khuôn mặt.,4
24,Agribank áp dụng quy định gửi rút nhiều nơi với tài khoản nào?,"A. Tài khoản thanh toán, Tài khoản Tiền gửi có kỳ hạn, Tài khoản Tiền gửi tiết kiệm.","B. Tài khoản thanh toán, Tài khoản Tiền gửi có kỳ hạn.","C. Tài khoản Tiền gửi có kỳ hạn, Tài khoản Tiền gửi tiết kiệm.","D. Tài khoản thanh toán, Tài khoản Tiền gửi tiết kiệm.",4
25,Agribank áp dụng quy định gửi rút tiền nhiều nơi với những loại tiền tệ nào?,A. VND.,"B. VND, USD.",C. VND và tất cả các loại ngoại tệ.,"D. VND, USD, EUR.",2
26,"Agribank cấp lại thẻ tiết kiệm cho người gửi tiền trong thời gian bao lâu (trường hợp các thông tin được xác định đúng, đầy đủ, không có tranh chấp, khiếu kiện)?",A. Sau 5 ngày làm việc kể từ ngày người gửi tiền hoàn tất thủ tục báo mất Thẻ tiết kiệm.,B. Sau 7 ngày làm việc kể từ ngày người gửi tiền hoàn tất thủ tục báo mất Thẻ tiết kiệm.,C. Sau 3 ngày làm việc kể từ ngày người gửi tiền hoàn tất thủ tục báo mất Thẻ tiết kiệm.,D. Sau 10 ngày làm việc kể từ ngày người gửi tiền hoàn tất thủ tục báo mất Thẻ tiết kiệm.,4
27,"Agribank cấp lại Thẻ tiết kiệm cho người gửi tiền trong thời gian bao lâu kể từ ngày người gửi tiền hoàn tất thù tục báo mất Thè tiết kiệm (trường hợp các thông tin được xác định đúng, đầy đủ, không có tranh chấp, khiếu kiện)?",Sau 3 ngày làm việc.,Sau 5 ngày làm việc.,Sau 7 ngày làm việc.,Sau 10 ngày làm việc.,4
28,Agribank chấm dứt phong tỏa hoặc giải tỏa phong tỏa tài khoản thanh toán khi:,Chưa kết thúc thời hạn phong tỏa,Kết thúc thời hạn phong tỏa và phải có văn bản yêu cầu của cơ quan có thẩm quyền về việc chấm dứt phong tỏa tài khoản thanh toán,"Đã xử lý xong sai sót, nhầm lẫn về chuyển tiền",Tất cả các phương án đều đúng,3
29,"Agribank chi cung cấp thông tin cho các tổ chức, cá nhân có thẩm quyền theo nguyên tắc nào?",Khi có yêu cầu cung cấp thông tin bằng văn bản.,Có đầy đủ tài liệu để chứng minh cho yêu cầu cung cấp thông tin.,Cả 1 và 2 đều đúng.,Được cung cấp trong mọi trường hợp.,3
30,Agribank chi trả tiền gửi tiết kiệm dưới các hình thức nào?,Tiền mặt,Chuyển khoản,Tiền mặt hoặc chuyển khoản vào tài khoản thanh toán của người gửi tiền.,Tiền mặt hoặc chuyển khoản vào tài khoản thanh toán của chính người gửi tiền theo quy định của Agribank. (Chuyển khoản vào tài khoản thanh toán bằng đồng VN của chính người gửi tiền đối với TGTK bằng đồng VN của Công dân VN là người cư trú; Công dân VN là người không cư trú gửi từ tài khoản thanh toán của người gửi tiền. Chuyển khoản vào tài khoản thanh toán bằng ngoại tệ của chính người gửi tiền đối với TGTK bằng ngoại tệ của công dân VN là người cư trú gửi từ tài khoản thanh toán của người gửi tiền).,4
31,Agribank cho vay đối với khách hàng theo nguyên tắc:,"A. Thỏa thuận giữa Agribank và khách hàng, phù hợp với quy định của NHNN, pháp luật có liên quan bao gồm pháp luật về bảo vệ môi trường và quy chế này.","B. Thống nhất giữa Agribank và khách hàng, phù hợp với quy định của NHNN, pháp luật có liên quan bao gồm pháp luật về bảo vệ môi trường và quy chế này.","C. Agribank và khách hàng, phù hợp với quy định của NHNN, pháp luật có liên quan bao gồm pháp luật về bảo vệ môi trường và quy chế này.","D. Thỏa thuận giữa Agribank và khách hàng, phù hợp với quy định của NHNN, pháp luật có liên quan bao gồm pháp luật về bảo vệ môi trường.",1
32,"Agribank cho vay phải có bảo đảm bằng tài sản và không cho vay với những điều kiện ưu đãi về lãi suất, về mức cho vay đối với đối tượng:","A. Thành viên Hội đồng thành viên, thành viên Ban kiểm soát, Tổng giám đốc, Phó Tổng giám đốc của Agribank.",B. Thanh tra viên đang thanh tra tại Agribank.,C. Tổ chức kiểm toán đang kiểm toán tại Agribank.,D. Cả b và c.,4
33,Agribank có bao nhiêu loại hình cho vay đối với khách hàng:,A. 2 loại.,B. 3 loại.,C. 4 loại.,D. 1 loại.,2
34,Agribank có căn cứ để nghi ngờ hoặc phát hiện các bên liên quan tới giao dịch thuộc Danh sách đen để trì hoãn giao dịch trong trường hợp nào sau đây?,"Cá nhân, tổ chức liên quan tới giao dịch có thông tin trùng khớp toàn bộ với thông tin cá nhân, tổ chức thuộc Danh sách đen",Các cá nhân có tài khoản thanh toán không hoạt động,Tổ chức có giao dịch ngoại tệ thường xuyên,"Các cá nhân, tổ chức mở nhiều tài khoản tại nhiều ngân hàng",1
35,Agribank có cho khách hàng vay để trả nợ khoản cấp tín dụng tại TCTD khác và trả nợ khoản vay nước ngoài hay không?,A. Có,B. Có một phần,C. Không,D. Tùy theo chính sách Agribank,3
36,"Agribank có được cấp tín dụng không có bào đảm đối với Giám đốc, Phó giám dốc Chi nhánh loại 1 không?",Được cho vay phục vụ nhu cầu đời sống có nguồn trả nợ từ lương.,Không được.,Được cấp tín dụng nhưng phải kiểm tra thông tin tín dụng (CIC).,Được.,1
37,"Agribank có được cung cấp thông tin xác thực khách hàng như: mã khóa bí mật, dữ liệu sinh trắc học, mật khẩu truy cập hay không?",Không được cung cấp.,Được cung cấp trong trường hợp khách hàng chấp thuận bằng văn bản.,Chi được cung cấp trong trường hợp người có thẩm quyền cung cấp thông tin tại Agribank phê duyệt.,Được cung cấp trong mọi trường hợp.,2
38,Agribank có mấy hạng chi nhánh?,A. 01 hạng,B. 04 hạng,C. 03 hạng,D. 02 hạng,3
39,Agribank có quyền nào về mở và sử dụng tài khoản thanh toán sau đây?,"Ghi Có vào tài khoản thanh toán của khách hàng kịp thời các lệnh thanh toán chuyển tiền đến, nộp tiền mặt vào tài khoản; hoàn trả kịp thời các khoản tiền do sai sót, nhầm lẫn đã ghi Nợ đối với tài khoản thanh toán của khách hàng.",Đảm bảo bí mật các thông tin liên quan đến tài khoản thanh toán và giao dịch trên tài khoản thanh toán của chủ tài khoản theo quy định của pháp luật.,"Thực hiện tạm khóa, đóng tài khoản thanh toán do khách hàng không duy trì đủ số dư tối thiểu và không phát sinh giao dịch trong thời gian dài theo quy định","Ghi Có vào tài khoản thanh toán của khách hàng kịp thời các lệnh thanh toán chuyển tiền đến, nộp tiền mặt vào tài khoản; hoàn trả kịp thời các khoản tiền do sai sót, nhầm lẫn đã ghi Nợ đối với tài khoản thanh toán của khách hàng.",3
40,Agribank có quyền từ chối thực hiện lệnh thanh toán của chủ tài khoản trong các trường hợp nào sau đây?,Chủ tài khoản thực hiện đầy đủ các yêu cầu về thủ tục thanh toán.,Tài khoản thanh toán  đủ số dư .,"Tài khoản thanh toán đang bị tạm khóa, bị phong tỏa toàn bộ hoặc tài khoản thanh toán đã đóng, tài khoản thanh toán bị tạm khóa hoặc phong tỏa một phần mà phần không bị tạm khóa, phong tỏa không có đủ số dư (trừ trường hợp được thấu chi) hoặc vượt hạn mức thấu chi để thực hiện các lệnh thanh toán","Khi chưa có yêu cầu bằng văn bản của cơ quan nhà nước có thẩm quyền hoặc chưa có bằng chứng về việc giao dịch thanh toán nhằm rửa tiền, tài trợ khủng bố theo quy định của pháp luật về phòng chống rửa tiền.",3
41,"Agribank có quyền xem xét quyết định chấm dứt cho vay, thu hồi nợ trước hạn theo nội dung đã thỏa thuận trong các trường hợp sau:",A. Khách hành vi phạm quy định trong thỏa thuận cho vay và/hoặc hợp đồng bảo đảm tiền vay; các nguy cơ khách có khả năng trả nợ của Ngân hàng;,B. Khách hành vi phạm quy định trong thỏa thuận cho vay và/hoặc hợp đồng bảo đảm tiền vay,C. Khi phát hiện khách hàng cung cấp thông tin sai sự thật; quyết định của các cơ quan khác có thẩm quyền.,D. Khi phát hiện khách hàng cung cấp thông tin sai sự thật; khách hành vi phạm quy định trong thỏa thuận cho vay và/hoặc hợp đồng bảo đảm tiền vay; các trường hợp khác có nguy cơ trả nợ của khách hàng; quyết định của các cơ quan khác có thẩm quyền.,4
42,"Agribank có quyền xem xét, quyết định việc tạm ngừng cho vay, chấm dứt cho vay, thu hồi nợ trước hạn trong các trường hợp nào sau đây?",A. Khi phát hiện khách hàng cung cấp thông tin sai sự thật.,B. Khách hàng vi phạm thỏa thuận trong HĐTD và/hoặc HĐBĐ tiền vay.,C. Quyết định theo kết luận của cơ quan thanh tra.,"D. Tất cả A, B và C đều đúng.",4
43,Agribank có thể đồng ý cấp tín dụng đối với nhu cầu vay vốn nào sau đây?,A. Để trả nợ khoản cấp tín dụng tại chính Agribank (bao gồm cả trả nợ cho các Chi nhánh khác của Agribank).,"B. Để thanh toán lãi tiền vay phát sinh trong quá trình thi công xây dựng công trình, mà chi phí lãi tiền vay được tính trong Tổng mức đầu tư xây dựng được cấp có thẩm quyền phê duyệt theo quy định của pháp luật.",C. Để trả nợ khoản cấp tín dụng tại các tổ chức tín dụng khác và trả nợ khoản vay nước ngoài.,D. Mua vàng miếng.,2
44,"Agribank có trách nhiệm báo cáo Cục Phòng, chống rửa tiền khi thực hiện giao dịch chuyển tiền điện tử quốc tế có giá trị bao nhiêu?",Từ 500USD trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 600USD trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 800USD trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 1.000USD trở lên hoặc bằng ngoại tệ có giá trị tương đương,4
45,"Agribank có trách nhiệm báo cáo Cục Phòng, chống rửa tiền khi thực hiện giao dịch chuyển tiền điện tử trong nước có giá trị bao nhiêu?",Từ 500 triệu đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 450 triệu đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 400 triệu đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương,Từ 350 triệu đồng trở lên hoặc bằng ngoại tệ có giá trị tương đương,1
46,Agribank có trách nhiệm báo cáo giao dịch đáng ngờ cho tổ chức nào sau đây,Ngân hàng Nhà nước Việt Nam,Bộ Công an,Bộ Tư pháp,Bộ Quốc phòng,1
47,Agribank có yêu cầu gì đối với tên đăng nhập của dịch vụ Agribank E-Mobile Banking?,Số điện thoại bất kỳ.,Tên do khách hàng tự đặt,Cùng tên với dịch vụ Internet Banking,Số điện thoại di động đăng ký dịch vụ,4
48,Agribank có yêu cầu gì đối với tên đăng nhập của dịch vụ SMS Banking?,Số điện thoại bất kỳ.,Không cần đăng nhập bằng tên đăng nhập,Cùng tên với dịch vụ Internet Banking,Là số điện thoại đăng ký dịch vụ,2
49,Agribank đã cung cấp sản phẩm tiền gửi trực tuyến qua Internet Banking với hạn mức tối thiểu là bao nhiêu:,A. 500.000 đồng,B. 1.000.000 đồng,C. 10.000.000 đồng,D. 100.000 đồng,2
50,Agribank đang triển khai bán sản phẩm bảo hiểm nào trên ứng dụng Agribank E-Mobile Banking?,Bảo an tín dụng,Bảo an tài khoản,Bảo hiểm bắt buộc trách nhiệm dân sự cho chủ xe máy và ô tô,Cả 2 và 3,4
51,Agribank đang triển khai dịch vụ chi,"Công ty Digital Wallet, Công ty Unidos, Công ty D.communications","Công ty chuyển tiền toàn cầu Remitly, Western Union, Ria",Công ty Ming Sheng Administer (MSA),"Đáp án 1,2, 3 đều đúng.",4
52,Agribank đang triển khai dịch vụ chi trả kiều hối theo thỏa thuận hợp tác với công ty chuyển tiền nào?,"Công ty Digital Wallet, Công ty Unidos, Công ty D.communications","Công ty chuyển tiền toàn cầu Remitly, Western Union, Ria",Công ty Ming Sheng Administer (MSA),"Đáp án 1, 2, 3 đều đúng.",4
53,Agribank được cho vay trong trường hợp nào dưới đây:,A. Để trả nợ khoản cấp tín dụng tại các tổ chức tín dụng khác và trả nợ khoản vay nước ngoài trước hạn khi khoản vay đáp ứng đầy đủ các điều kiện theo quy định.,B. Để trả nợ khoản cấp tín dụng tại chính Agribank (bao gồm cả trả nợ cho các Chi nhánh khác của Agribank).,"C. Để thanh toán các chi phí, đáp ứng các nhu cầu tài chính cuả các giao dịch, hành vi mà pháp luật cấm.",D. Để mua vàng miếng.,1
54,Agribank được đặt vào tình trạng kiểm soát đặc biệt khi nào?,CÓ nguy cơ mất khả năng chi trả.,Khi số lỗ lũy kế cùa Agribank lớn hơn 50% giá trị thực của vốn điều lệ và các quỹ dự trữ ghi trong báo cáo tài chính đã được kiểm toán gần nhất.,Nợ không có khả năng thu hồi có nguy cơ mất khả năng thanh toán.,Tất cả các đáp án trên.,4
55,Agribank được kinh doanh bất động sản trong trường hợp nào sau đây theo Điều lệ hiện hành?,A. Đầu tư bất động sản làm cơ sở kho tàng phục vụ trực tiếp cho các hoạt động nghiệp vụ.,B. Cho thuê toàn bộ trụ sở kinh doanh.,"C. Bán, chuyển nhượng bất động sản đang nắm giữ do việc xử lý nợ vay trong thời hạn 4 năm kể từ ngày quyết định xử lý tài sản bảo đảm.",D. Đầu tư bất động sản làm cơ sở nghỉ dưỡng.,1
56,Agribank được phát hành thẻ phụ loại thẻ nào?,A. Thẻ tín dụng quốc tế.,B. Thẻ ghi nợ nội địa hạng vàng.,C. Thẻ liên kết sinh viên.,D. Thẻ ghi nợ nội địa hạng chuẩn.,1
57,Agribank được quyền từ chối thực hiện giao dịch đối với trường hợp nào sau đây?,Chứng từ kế toán do người nước ngoài ghi bằng tiếng Anh.,Ngày lập chứng từ của khách hàng khác ngày nộp chứng từ vào ngân hàng.,Chứng từ kế toán lập không đúng quy định.,Tất cả các đáp án trên.,3
58,Agribank được thành lập vào ngày tháng năm nào?,A. Ngày 23/6/1986.,B. Ngày 23/3/1988.,C. Ngày 26/3/1978.,D. Ngày 26/3/1988.,4
59,Agribank được xử lý tài sản ký quỹ để thực hiện nghĩa vụ trong các trường hợp nào sau đây?,A. Khi đến hạn thực hiện nghĩa vụ thuộc phạm vi ký quỹ mà khách hàng không thực hiện hoặc thực hiện không đúng nghĩa vụ đối với Agribank.,B. Khách hàng phải thực hiện nghĩa vụ trước thời hạn do vi phạm nghĩa vụ theo thỏa thuận hoặc theo quy định của pháp luật.,"C. Khách hàng là pháp nhân được tổ chức lại (cổ phần hoá, chia, tách, sáp nhập, chuyển đổi...) mà không thực hiện các quy định về kế thừa nghĩa vụ theo quy định của Agribank.","D. Tất cả A, B và C đều đúng.",4
60,Agribank hạ nhóm hạng của khách hàng trong các trường hợp nào sau đây?,Khách hàng chuyển nợ nhóm 2 trở lên tại Agribank và/ hoặc theo thông tin của Trung tâm Thông tin tín dụng Quốc gia (CIC),Khách hàng hủy đăng ký dịch vụ Agribank E-Mobile Banking,Khách hàng không tăng dư nợ trong kỳ phân loại,,1
61,Agribank hạch toán khoản lãi phải thu vào doanh thu từ hoạt động cấp tín dụng đối với:,Khoản nợ được phân loại là nợ đủ tiêu chuẩn không phải trích dự phòng rủi ro cụ thể theo quy định của Ngân hàng Nhà nước,"Khoản nợ đã chuyển nợ quá hạn, nợ xấu",Khoản nợ đã xử lý rủi ro,Khoản nợ được giữ nguyên nhóm nợ đủ tiêu chuẩn do thực hiện chính sách của Nhà nước,1
